City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Busselton,AU,50.04,scattered clouds,-33.65,115.3333,Observatory Guest House
7,Albany,US,71.17,broken clouds,42.6001,-73.9662,
11,Castro,BR,58.06,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
12,Kodiak,US,51.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
13,Yellowknife,CA,51.33,overcast clouds,62.456,-114.3525,The Explorer Hotel
21,Mananjary,MG,65.77,clear sky,-21.2167,48.3333,Vahiny Lodge
24,Namibe,AO,74.01,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
27,Hermanus,ZA,57.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Balkanabat,TM,69.89,overcast clouds,39.5108,54.3671,Nebitchi Hotel
29,Korla,CN,74.64,overcast clouds,41.7597,86.1469,Gulisitan Hotel
30,Fortuna,US,62.92,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
31,Port Elizabeth,ZA,50.29,clear sky,-33.918,25.5701,39 On Nile Guest House
32,Ilhabela,BR,66.67,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
33,Cherskiy,RU,57.74,scattered clouds,68.75,161.3,Gostinitsa
34,Cidreira,BR,58.53,clear sky,-30.1811,-50.2056,Hotel Castelo
39,Malard,IR,64.58,clear sky,35.6659,50.9767,nano-zit
42,Norman Wells,CA,57.24,broken clouds,65.282,-126.8329,Heritage Hotel
46,Bulancak,TR,57.02,few clouds,40.9372,38.2291,Başoğlu Bulancak Otel
47,Polson,US,62.29,moderate rain,47.6936,-114.1632,Americas Best Value Port Polson Inn
48,Patos De Minas,BR,72.3,overcast clouds,-18.5789,-46.5181,Gálatas Central Hotel
49,Rio Grande,BR,52.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
51,Manyana,BW,52.56,few clouds,-23.4,21.7167,
52,Coquimbo,CL,53.33,few clouds,-29.9533,-71.3436,Punto de encuentro
55,Sudogda,RU,54.59,broken clouds,55.9539,40.8629,Барский луг
56,Zhezkazgan,KZ,71.4,scattered clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
58,Piran,SI,59.11,clear sky,45.5278,13.5706,Hotel Histrion
59,Pisco,PE,66.25,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
62,Marawi,PH,67.64,broken clouds,7.9986,124.2928,Derogongan Residence
63,Zhigansk,RU,53.55,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
66,San Cristobal,VE,73.89,broken clouds,7.7669,-72.225,Posada Villaven C.A.
68,Geraldton,AU,54.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
