City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,36,4.36,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,26.42,93,99,4.05,light snow
2,Khatanga,RU,71.9667,102.5,29.68,85,97,10.25,overcast clouds
3,Gigmoto,PH,13.7796,124.39,84.99,78,93,8.46,overcast clouds
4,Clyde River,CA,70.4692,-68.5914,28.63,86,90,21.85,overcast clouds
5,Saskylakh,RU,71.9167,114.0833,32.31,73,73,4.16,broken clouds
6,Coahuayana,MX,18.7333,-103.6833,90.88,52,100,5.06,overcast clouds
7,Snezhnogorsk,RU,69.1933,33.2531,38.98,81,99,16.58,overcast clouds
8,Nampula,MZ,-15.1165,39.2666,63.52,97,100,3.98,light rain
9,Qaanaaq,GL,77.484,-69.3632,38.19,72,100,7.63,overcast clouds
10,Dudinka,RU,69.4058,86.1778,20.03,94,60,10.74,broken clouds
11,Bowen,AU,-20.0167,148.2333,70.84,47,1,9.95,clear sky
12,Hilo,US,19.7297,-155.09,83.28,69,20,12.66,few clouds
13,Talcahuano,CL,-36.7167,-73.1167,55.08,94,75,3.44,broken clouds
14,Geraldton,AU,-28.7667,114.6,68.13,55,90,2.82,light rain
15,Kapaa,US,22.0752,-159.319,84.18,68,20,1.99,few clouds
16,Kodiak,US,57.79,-152.4072,56.71,58,1,10.36,clear sky
17,Punta Arenas,CL,-53.15,-70.9167,28.51,86,0,14.99,clear sky
18,Shushenskoye,RU,53.325,91.9356,58.68,90,100,19.26,heavy intensity rain
19,Carnarvon,AU,-24.8667,113.6333,68.07,68,36,12.66,scattered clouds
20,Warwick,US,41.7001,-71.4162,73.53,50,18,1.99,few clouds
21,Avarua,CK,-21.2078,-159.775,84.25,79,40,17.27,light rain
22,Mount Pleasant,US,32.7941,-79.8626,86.14,66,1,1.99,clear sky
23,Bergen,NO,60.392,5.328,52.65,88,0,2.98,light rain
24,Vostochnyy,RU,55.8167,37.8667,61.11,96,88,2.82,overcast clouds
25,Yulara,AU,-25.2406,130.9889,52.03,43,78,13.82,broken clouds
26,Atuona,PF,-9.8,-139.0333,78.93,73,11,13.98,few clouds
27,Magadan,RU,59.5667,150.8,38.98,93,100,4.12,overcast clouds
28,Laela,TZ,-8.5667,32.05,52.75,92,1,3.36,clear sky
29,Marzuq,YE,14.4,46.4667,76.64,35,15,6.35,few clouds
30,Ambilobe,MG,-13.2,49.05,67.71,94,6,2.66,clear sky
31,Busselton,AU,-33.65,115.3333,55.04,69,0,9.86,clear sky
32,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,75,10.36,broken clouds
33,Faya,SA,18.3851,42.4509,66.72,22,13,5.03,few clouds
34,Thompson,CA,55.7435,-97.8558,57.09,22,100,11.41,overcast clouds
35,Lengshuitan,CN,26.4111,111.5956,75.25,86,96,2.91,overcast clouds
36,Labuhan,ID,-6.8844,112.2051,80.19,81,30,6.71,scattered clouds
37,Narsaq,GL,60.9167,-46.05,52.02,63,63,7.11,broken clouds
38,Sao Filipe,CV,14.8961,-24.4956,73.87,75,4,6.29,clear sky
